Product,Price (EGP),Details,Link,Image
Pepsi,29.99,Pepsi,https://www.amazon.eg/-/en/Pepsi-Carbonated-Soft-Drink-1-5L/dp/B0CLRXK5TR/ref=sr_1_1?dib=eyJ2IjoiMSJ9.LK8ApSn4nBYq7Bl5cTW1P5XrPLz9GkGNhTScypJEWzV0tdxBr6tb_5UBgGIU7KyARAHoq5rC6_GA3D_L5iKsRwJV_ZExpvRr4BmMRjsgILMrybjH1KV077KlHzIVWHPbkevS-MbE8ExviKLjoIig9sINRAeOXEmmZueaCbIG1q7tbbOEM3wc_F3A70pWDgD_cPLQXW3VYPQi6b4CKM1ombLed1q4mV2zwkPDQHmRAL65Sg3-9OrSTJhyJ6LHSTzRsttqcxBdraqzVOwJX0pfZszk4N93DRLfpdfdptubawY.FcwUSWfqXtD0TpFNHteCvu-o5e39WeNwch51ulefpjE&dib_tag=se&keywords=pepsi&qid=1777883682&sr=8-1,https://m.media-amazon.com/images/I/51cQVRB9yrL._AC_UL320_.jpg
Pepsi,190.00,Pepsi,https://www.amazon.eg/-/en/Pepsi-250ml-plastic-bottle-pieces/dp/B08YY2VGJF/ref=sr_1_2?dib=eyJ2IjoiMSJ9.LK8ApSn4nBYq7Bl5cTW1P5XrPLz9GkGNhTScypJEWzV0tdxBr6tb_5UBgGIU7KyARAHoq5rC6_GA3D_L5iKsRwJV_ZExpvRr4BmMRjsgILMrybjH1KV077KlHzIVWHPbkevS-MbE8ExviKLjoIig9sINRAeOXEmmZueaCbIG1q7tbbOEM3wc_F3A70pWDgD_cPLQXW3VYPQi6b4CKM1ombLed1q4mV2zwkPDQHmRAL65Sg3-9OrSTJhyJ6LHSTzRsttqcxBdraqzVOwJX0pfZszk4N93DRLfpdfdptubawY.FcwUSWfqXtD0TpFNHteCvu-o5e39WeNwch51ulefpjE&dib_tag=se&keywords=pepsi&qid=1777883682&sr=8-2,https://m.media-amazon.com/images/I/71t1r0U0a1L._AC_UL320_.jpg
MIRINDA EXTRA FIZZ 1.47L PET,24.99,MIRINDA EXTRA FIZZ 1.47L PET,https://www.amazon.eg/-/en/MIRINDA-EXTRA-FIZZ-1-47L-PET/dp/B0DX2F7RRT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.LK8ApSn4nBYq7Bl5cTW1P5XrPLz9GkGNhTScypJEWzV0tdxBr6tb_5UBgGIU7KyARAHoq5rC6_GA3D_L5iKsRwJV_ZExpvRr4BmMRjsgILMrybjH1KV077KlHzIVWHPbkevS-MbE8ExviKLjoIig9sINRAeOXEmmZueaCbIG1q7tbbOEM3wc_F3A70pWDgD_cPLQXW3VYPQi6b4CKM1ombLed1q4mV2zwkPDQHmRAL65Sg3-9OrSTJhyJ6LHSTzRsttqcxBdraqzVOwJX0pfZszk4N93DRLfpdfdptubawY.FcwUSWfqXtD0TpFNHteCvu-o5e39WeNwch51ulefpjE&dib_tag=se&keywords=pepsi&qid=1777883682&sr=8-3,https://m.media-amazon.com/images/I/71xjt3O4t6L._AC_UL320_.jpg
Pepsi,89.97,Pepsi,https://www.amazon.eg/-/en/Pepsi-Carbonated-Soft-Drink-1-5L/dp/B0FGWXPFGK/ref=sr_1_4?dib=eyJ2IjoiMSJ9.LK8ApSn4nBYq7Bl5cTW1P5XrPLz9GkGNhTScypJEWzV0tdxBr6tb_5UBgGIU7KyARAHoq5rC6_GA3D_L5iKsRwJV_ZExpvRr4BmMRjsgILMrybjH1KV077KlHzIVWHPbkevS-MbE8ExviKLjoIig9sINRAeOXEmmZueaCbIG1q7tbbOEM3wc_F3A70pWDgD_cPLQXW3VYPQi6b4CKM1ombLed1q4mV2zwkPDQHmRAL65Sg3-9OrSTJhyJ6LHSTzRsttqcxBdraqzVOwJX0pfZszk4N93DRLfpdfdptubawY.FcwUSWfqXtD0TpFNHteCvu-o5e39WeNwch51ulefpjE&dib_tag=se&keywords=pepsi&qid=1777883682&sr=8-4,https://m.media-amazon.com/images/I/510kXDiUjUL._AC_UL320_.jpg
"Diet Pepsi, Carbonated Soft Drink, Cans, 330 ml Pack of 6",149.98,"Diet Pepsi, Carbonated Soft Drink, Cans, 330 ml Pack of 6",https://www.amazon.eg/-/en/Diet-Pepsi-Carbonated-Soft-Drink/dp/B08DJMKK17/ref=sr_1_5?dib=eyJ2IjoiMSJ9.LK8ApSn4nBYq7Bl5cTW1P5XrPLz9GkGNhTScypJEWzV0tdxBr6tb_5UBgGIU7KyARAHoq5rC6_GA3D_L5iKsRwJV_ZExpvRr4BmMRjsgILMrybjH1KV077KlHzIVWHPbkevS-MbE8ExviKLjoIig9sINRAeOXEmmZueaCbIG1q7tbbOEM3wc_F3A70pWDgD_cPLQXW3VYPQi6b4CKM1ombLed1q4mV2zwkPDQHmRAL65Sg3-9OrSTJhyJ6LHSTzRsttqcxBdraqzVOwJX0pfZszk4N93DRLfpdfdptubawY.FcwUSWfqXtD0TpFNHteCvu-o5e39WeNwch51ulefpjE&dib_tag=se&keywords=pepsi&qid=1777883682&sr=8-5,https://m.media-amazon.com/images/I/81vpiUcBS2L._AC_UL320_.jpg
Pepsi,225.00,Pepsi,https://www.amazon.eg/-/en/Pepsi-Regular-Cola-Flavor-Milliliters/dp/B089TF3YR9/ref=sr_1_6?dib=eyJ2IjoiMSJ9.LK8ApSn4nBYq7Bl5cTW1P5XrPLz9GkGNhTScypJEWzV0tdxBr6tb_5UBgGIU7KyARAHoq5rC6_GA3D_L5iKsRwJV_ZExpvRr4BmMRjsgILMrybjH1KV077KlHzIVWHPbkevS-MbE8ExviKLjoIig9sINRAeOXEmmZueaCbIG1q7tbbOEM3wc_F3A70pWDgD_cPLQXW3VYPQi6b4CKM1ombLed1q4mV2zwkPDQHmRAL65Sg3-9OrSTJhyJ6LHSTzRsttqcxBdraqzVOwJX0pfZszk4N93DRLfpdfdptubawY.FcwUSWfqXtD0TpFNHteCvu-o5e39WeNwch51ulefpjE&dib_tag=se&keywords=pepsi&qid=1777883682&sr=8-6,https://m.media-amazon.com/images/I/7118iRM3rPL._AC_UL320_.jpg
Pepsi,N/A,Pepsi,https://www.amazon.eg/-/en/Pepsi-6223001366041-2-5-2-43-L/dp/B0D42D6YDG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.LK8ApSn4nBYq7Bl5cTW1P5XrPLz9GkGNhTScypJEWzV0tdxBr6tb_5UBgGIU7KyARAHoq5rC6_GA3D_L5iKsRwJV_ZExpvRr4BmMRjsgILMrybjH1KV077KlHzIVWHPbkevS-MbE8ExviKLjoIig9sINRAeOXEmmZueaCbIG1q7tbbOEM3wc_F3A70pWDgD_cPLQXW3VYPQi6b4CKM1ombLed1q4mV2zwkPDQHmRAL65Sg3-9OrSTJhyJ6LHSTzRsttqcxBdraqzVOwJX0pfZszk4N93DRLfpdfdptubawY.FcwUSWfqXtD0TpFNHteCvu-o5e39WeNwch51ulefpjE&dib_tag=se&keywords=pepsi&qid=1777883682&sr=8-7,https://m.media-amazon.com/images/I/61ONaIwfKFL._AC_UL320_.jpg
Pepsi,550.00,Pepsi,https://www.amazon.eg/-/en/Pepsi-Can-Soda-Pcs-Pack/dp/B0B39655F8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.LK8ApSn4nBYq7Bl5cTW1P5XrPLz9GkGNhTScypJEWzV0tdxBr6tb_5UBgGIU7KyARAHoq5rC6_GA3D_L5iKsRwJV_ZExpvRr4BmMRjsgILMrybjH1KV077KlHzIVWHPbkevS-MbE8ExviKLjoIig9sINRAeOXEmmZueaCbIG1q7tbbOEM3wc_F3A70pWDgD_cPLQXW3VYPQi6b4CKM1ombLed1q4mV2zwkPDQHmRAL65Sg3-9OrSTJhyJ6LHSTzRsttqcxBdraqzVOwJX0pfZszk4N93DRLfpdfdptubawY.FcwUSWfqXtD0TpFNHteCvu-o5e39WeNwch51ulefpjE&dib_tag=se&keywords=pepsi&qid=1777883682&sr=8-8,https://m.media-amazon.com/images/I/61NKYMmdkzL._AC_UL320_.jpg
Pepsi,185.00,Pepsi,https://www.amazon.eg/-/en/Pepsi-Carbonated-Soft-Drink-330ml/dp/B08DJN5TP3/ref=sr_1_9?dib=eyJ2IjoiMSJ9.LK8ApSn4nBYq7Bl5cTW1P5XrPLz9GkGNhTScypJEWzV0tdxBr6tb_5UBgGIU7KyARAHoq5rC6_GA3D_L5iKsRwJV_ZExpvRr4BmMRjsgILMrybjH1KV077KlHzIVWHPbkevS-MbE8ExviKLjoIig9sINRAeOXEmmZueaCbIG1q7tbbOEM3wc_F3A70pWDgD_cPLQXW3VYPQi6b4CKM1ombLed1q4mV2zwkPDQHmRAL65Sg3-9OrSTJhyJ6LHSTzRsttqcxBdraqzVOwJX0pfZszk4N93DRLfpdfdptubawY.FcwUSWfqXtD0TpFNHteCvu-o5e39WeNwch51ulefpjE&dib_tag=se&keywords=pepsi&qid=1777883682&sr=8-9,https://m.media-amazon.com/images/I/81iV2ZjzjgL._AC_UL320_.jpg
VCOLA,14.00,VCOLA,https://www.amazon.eg/-/en/VCOLA-V7-super-soda/dp/B0CRF7HBF8/ref=sr_1_10?dib=eyJ2IjoiMSJ9.LK8ApSn4nBYq7Bl5cTW1P5XrPLz9GkGNhTScypJEWzV0tdxBr6tb_5UBgGIU7KyARAHoq5rC6_GA3D_L5iKsRwJV_ZExpvRr4BmMRjsgILMrybjH1KV077KlHzIVWHPbkevS-MbE8ExviKLjoIig9sINRAeOXEmmZueaCbIG1q7tbbOEM3wc_F3A70pWDgD_cPLQXW3VYPQi6b4CKM1ombLed1q4mV2zwkPDQHmRAL65Sg3-9OrSTJhyJ6LHSTzRsttqcxBdraqzVOwJX0pfZszk4N93DRLfpdfdptubawY.FcwUSWfqXtD0TpFNHteCvu-o5e39WeNwch51ulefpjE&dib_tag=se&keywords=pepsi&qid=1777883682&sr=8-10,https://m.media-amazon.com/images/I/61TEazg2PxL._AC_UL320_.jpg
