Category,Product,Price,Availability,Image URL,ProductURL,Search Keyword
Sub-1,Acquerello Carnaroli Rice,1250.0,,https://elfarblobprod.blob.core.windows.net/elfar/product/14195/trimmed_1766507544_185094.webp,,
Sub-1,Tilda Basmati White Rice 5 Kg,841.5,,https://elfarblobprod.blob.core.windows.net/elfar/product/29013/trimmed_1766507549_185107.webp,,
Sub-1,Daria Long Grain Golden rice,598.5,,https://elfarblobprod.blob.core.windows.net/elfar/product/3390/trimmed_1766500564_164052.webp,,
Sub-1,Zumra Paper Rice,453.95,,https://elfarblobprod.blob.core.windows.net/elfar/product/30635/trimmed_1766507796_186808.webp,,
Sub-1,Ristoris Carnaroli Rice 1 Kg,373.5,,https://elfarblobprod.blob.core.windows.net/elfar/twozerozero/8056515240525.jpg,,
Sub-1,Tilda Basmati White Rice - 2 kg,337.5,,https://elfarblobprod.blob.core.windows.net/elfar/product/40703/trimmed_1766508592_196510.webp,,
Sub-1,El Walimah Elmehidab Basmti Rice,330.95,,https://elfarblobprod.blob.core.windows.net/elfar/product/24776/trimmed_1766506418_181048.webp,,
Sub-1,Dobella Indian White Basmati Rice,300.0,,https://elfarblobprod.blob.core.windows.net/elfar/product/3630/trimmed_1766500816_164549.webp,,
Sub-1,Dobella Golden Basmati Rice,300.0,,https://elfarblobprod.blob.core.windows.net/elfar/product/3629/trimmed_1766500815_164548.webp,,
Sub-1,Hatsuta Sushi Rice 1 Kg,253.5,,https://elfarblobprod.blob.core.windows.net/elfar/twozerothree/8001420011838.jpg,,
Sub-1,Al Doha Egyptian Rice 5 kg,212.5,,https://elfarblobprod.blob.core.windows.net/elfar/product/2907/trimmed_1766503439_170924.webp,,
Sub-1,Rihanna luxury rice 5kg,207.5,,https://elfarblobprod.blob.core.windows.net/elfar/product/131/trimmed_1766503451_171002.webp,,
Sub-1,Altahya Long White Basmati Rice Grade A,194.95,,https://elfarblobprod.blob.core.windows.net/elfar/product/3728/trimmed_1766500897_164753.webp,,
Sub-1,Al Sa'a Egyptian Rice 5 Kg,188.5,,https://elfarblobprod.blob.core.windows.net/elfar/product/20653/trimmed_1766505630_177687.webp,,
Sub-1,Larinda Saudi Kabsa Rice Ready To Cook 750 Gm,187.5,,https://elfarblobprod.blob.core.windows.net/elfar/twofourten/0735745577929.jpg,,
Sub-1,Larinda Saudi Biryani Rice Ready To Cook 750 Gm,187.5,,https://elfarblobprod.blob.core.windows.net/elfar/twofourten/0735745577936.jpg,,
Sub-1,Kohinoor Extra Long Basmati Rice,179.5,,https://elfarblobprod.blob.core.windows.net/elfar/product/20656/trimmed_1766505630_177690.webp,,
Sub-1,Kohinoor Golden Boiled Rice 1Kg Long Grain,179.5,,https://elfarblobprod.blob.core.windows.net/elfar/product/20655/trimmed_1766505630_177689.webp,,
