Keyword,Product,Weight,Price,Availability,Image URL
+ عسل Food Cupboard,El Bawadi Molasses 350 Gm,350 Gm,29.25,In Stock,https://elfarblobprod.blob.core.windows.net/elfar/product/497/trimmed_1766503595_171300.webp
+ عسل Food Cupboard,El Bawadi Molasses 700 Gm,700 Gm,50.95,In Stock,https://elfarblobprod.blob.core.windows.net/elfar/product/496/trimmed_1766503595_171299.webp
+ عسل Food Cupboard,El Bawadi Molasses 200 Gm,200 Gm,17.95,In Stock,https://elfarblobprod.blob.core.windows.net/elfar/product/498/trimmed_1766503595_171301.webp
+ عسل Food Cupboard,"El Rashidi El Mizan Sugarcane Molasses - Preservatives Free, Artificial Colors Free, Artificial Flavors Free",N/A,28.50,In Stock,https://elfarblobprod.blob.core.windows.net/elfar/product/23148/trimmed_1766505967_179272.webp
+ عسل Food Cupboard,El Rashidi El Mizan Sugarcane Molasses,N/A,52.50,In Stock,https://elfarblobprod.blob.core.windows.net/elfar/product/20514/trimmed_1766505579_177557.webp
+ عسل Food Cupboard,Maram Molasses 700 Approx.,N/A,55.95,In Stock,https://elfarblobprod.blob.core.windows.net/elfar/product/18105/trimmed_1766504828_174786.webp
+ عسل Food Cupboard,Imtenan 100% Pure Clover Flowers Honey,N/A,131.75,In Stock,https://elfarblobprod.blob.core.windows.net/elfar/product/20508/trimmed_1766506035_179522.webp
+ عسل Food Cupboard,Imtenan Clover Flowers Honey,N/A,217.75,In Stock,https://elfarblobprod.blob.core.windows.net/elfar/product/9331/trimmed_1766506029_179502.webp
+ عسل Food Cupboard,Imtenan Spring Flower Honey,N/A,217.75,In Stock,https://elfarblobprod.blob.core.windows.net/elfar/product/9337/trimmed_1766506029_179505.webp
+ عسل Food Cupboard,Imtenan Clover Honey 125Gm,125Gm,48.50,In Stock,https://elfarblobprod.blob.core.windows.net/elfar/product/21637/trimmed_1766507362_184495.webp
+ عسل Food Cupboard,Imtenan Clover Flower Honey,N/A,77.50,In Stock,https://elfarblobprod.blob.core.windows.net/elfar/product/20503/trimmed_1766505578_177548.webp
+ عسل Food Cupboard,Imtenan Pure Honey,N/A,14.25,In Stock,https://elfarblobprod.blob.core.windows.net/elfar/product/9362/trimmed_1766507332_184398.webp
