Keyword,Original_Name,Amazon_Name,Original_Weight,Original_Price,Amazon_Price,Match_Factor,Original_Image,Amazon_Image,Amazon_URL
+ عسل Food Cupboard,El Bawadi Molasses 700 Gm,El Bawadi,700 Gm,50.95,164.0,0.0,https://elfarblobprod.blob.core.windows.net/elfar/product/496/trimmed_1766503595_171299.webp,https://m.media-amazon.com/images/I/81WJOpoTxQL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Bawadi-Egyptian-Sugarcane-Molasses-Treacle/dp/B07Y2634G6/ref=sr_1_1?crid=3FB1CJV02P2KI&dib=eyJ2IjoiMSJ9.jyLFblEQ9TQ6fCdrtcVszg.VcXPIHWOz9raLquKpmYrpigbHEvvTaEmCgZdB2ZZiXo&dib_tag=se&keywords=El+Bawadi+Molasses+700+Gm&qid=1778626190&sprefix=el+bawadi+molasses+700+gm%2Caps%2C343&sr=8-1
+ عسل Food Cupboard,Imtenan 100% Pure Clover Flowers Honey,Imtenan,nan,131.75,234.0,0.57,https://elfarblobprod.blob.core.windows.net/elfar/product/20508/trimmed_1766506035_179522.webp,https://m.media-amazon.com/images/I/81iMEmW8j9L._AC_UL320_.jpg,https://www.amazon.eg/-/en/Imtenan-clover-blossom-pure-honey/dp/B07Y75CJBC/ref=sr_1_1?crid=1OU5FIRIJ9S9J&dib=eyJ2IjoiMSJ9.Be1YuvXSxx_m2_4lcwJQ-WoPPkRYPmxUYyHWiG5q8YAbgeBmrv_eZX7gVSQfCyQZxkKTZaOpUTy8wuj86JdJADGk5ZP4Msa5gj9rqAaCd8I.btAR9orOlz5PtJVgkt-pJe1P4NiseINlrZcYiO49BHA&dib_tag=se&keywords=Imtenan+100%25+Pure+Clover+Flowers+Honey&qid=1778626247&sprefix=imtenan+100+pure+clover+flowers+honey%2Caps%2C400&sr=8-1
+ عسل Food Cupboard,Imtenan Clover Flowers Honey,"Imtenan clover blossom - pure bee honey, 800 gm",nan,217.75,234.0,0.9,https://elfarblobprod.blob.core.windows.net/elfar/product/9331/trimmed_1766506029_179502.webp,https://m.media-amazon.com/images/I/81iMEmW8j9L._AC_UL320_.jpg,https://www.amazon.eg/-/en/Imtenan-clover-blossom-pure-honey/dp/B07Y75CJBC/ref=sr_1_1?crid=3HRCOI5NT7YO7&dib=eyJ2IjoiMSJ9.DWxUYyF1rj0CUfVCKeBo67C1bxZOF7OrXG6E9mDBse5_f0FzgkP-wuQARWdoEi3HsBTOjZE1qbJnLT0Dm89LPG2ide8RM_qCQ3YIJu_eTtt8VN8dPzqLQ8JGZN2lsSizSo7gjxGKAhzKgBWmQPtNjvQ3Kmf5RSQ8mAStimOxo2EV8JKscMlmiUbwZV0PvCz_0ZQdXMLLuxz8zZI_g3us7dUDFi4KlnbPBoFm69ttEEmIA65IJmBTCq60k_-iC6lzI7RKWrbVXV1oa3uM-2B5FQY7emvSAm4MXji1M-WFSkc.Ld0hyCwrMLQ-4BjovRa4hmMvxtZux2bMIlOmj8oAVpg&dib_tag=se&keywords=Imtenan+Clover+Flowers+Honey&qid=1778626253&sprefix=imtenan+clover+flowers+honey%2Caps%2C357&sr=8-1
+ عسل Food Cupboard,Imtenan Spring Flower Honey,Imtenan Spring Flowers Honey 450 gm Esquiz,nan,217.75,124.0,0.8,https://elfarblobprod.blob.core.windows.net/elfar/product/9337/trimmed_1766506029_179505.webp,https://m.media-amazon.com/images/I/415f2tz2v6L._AC_UL320_.jpg,https://www.amazon.eg/-/en/Imtenan-Spring-Flowers-Honey-Esquiz/dp/B0BRY8S6K6/ref=sr_1_1?crid=ZJFRRA88JA3Y&dib=eyJ2IjoiMSJ9.EXr4FYUmeCOGzQAPN5SkxtAGPk8tPFXkTtaxG9FeTNEYsDxOpWCd0x78VNWKB16wfqjTZRR_o50OPXTAJwJpkQZc_Fa0ZJ_PMtmERz5GLpsyq75ratvSAJaQXUVJF0AviuHzTDPqbSPZ56gp9YYtKsGA9pf_wBNQsiC1yuJvQ-Wue0XkQnsDLucMueYyTnPnChoLmKDDnMion5UsFU38UvE8HaD-_11ytNNHwZSr0lI1dz6e4sNvwLknWVJgdtNegmHbkC7_nWjiPkJA2t5m7qYCr0FZZkSNJSh3qEBSKrg.UJjBGoUms8Xj6Aj24_qpK1TiZWEHGcw9SVaZWOajuA4&dib_tag=se&keywords=Imtenan+Spring+Flower+Honey&qid=1778626262&sprefix=imtenan+spring+flower+honey%2Caps%2C347&sr=8-1
+ عسل Food Cupboard,Imtenan Clover Honey 125Gm,Imtenan,125Gm,48.5,1050.0,0.0,https://elfarblobprod.blob.core.windows.net/elfar/product/21637/trimmed_1766507362_184495.webp,https://m.media-amazon.com/images/I/61mLFsDtRDL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Imtenan-Clover-blossom-Honey-5-25/dp/B09RB81C9J/ref=sr_1_1?crid=31ZS1IBBVX59S&dib=eyJ2IjoiMSJ9.1cHRhMdEPqnG1mMuZUutTDdAEY76TAHGhOWR1w9OGgcV-uu8lZEDhqv6LzdQJ_rCXorVV4NPkiPBBkC3VC7-m82EVHopWVbbjsxFr0qsmR-23q6jM0ag_8haO646KCvZ5WGVkiibtLqZIy8ywct9-MqnUgc2CugEkvljuW4wN4n8ekjah86gIOJlVDTVTbnkQvT8zseSKFBmu1oP9x7FuA.oFOMSj9c6RiW9FKzKuQrNsp-94GseOxmkAAVBP3ILn0&dib_tag=se&keywords=Imtenan+Clover+Honey+125Gm&qid=1778626271&sprefix=imtenan+clover+honey+125gm%2Caps%2C348&sr=8-1
+ عسل Food Cupboard,Imtenan Clover Flower Honey,"Imtenan clover blossom - pure bee honey, 800 gm",nan,77.5,234.0,0.8,https://elfarblobprod.blob.core.windows.net/elfar/product/20503/trimmed_1766505578_177548.webp,https://m.media-amazon.com/images/I/81iMEmW8j9L._AC_UL320_.jpg,https://www.amazon.eg/-/en/Imtenan-clover-blossom-pure-honey/dp/B07Y75CJBC/ref=sr_1_1?crid=K6O0ON2Y2786&dib=eyJ2IjoiMSJ9.Be1YuvXSxx_m2_4lcwJQ-Zt1MnkoLxc9hTtqM-kPDnd_f0FzgkP-wuQARWdoEi3HUH1CiB1XO8KKIXS22qEE182EVHopWVbbjsxFr0qsmR98VN8dPzqLQ8JGZN2lsSizSo7gjxGKAhzKgBWmQPtNjimmPp51LJOn8_-HgsPHRXTHwvP9s4W9650yHydtM9Ciu-iuv6HCR-SJCCh3ZCuOptUDFi4KlnbPBoFm69ttEElEYXJ5PvxB9lV0yNZTVzHn2q00i0c4XPvVvaNOuIJOqwtcpMoSa7Z6eEe2k8-lO-0.0I058qrM7MwwCzoRLgyePEOwY3aKsFMO1tCymYkxtro&dib_tag=se&keywords=Imtenan+Clover+Flower+Honey&qid=1778626277&sprefix=imtenan+clover+flower+honey%2Caps%2C335&sr=8-1
+ عسل Food Cupboard,Imtenan Pure Honey,Imtenan,nan,14.25,234.0,0.63,https://elfarblobprod.blob.core.windows.net/elfar/product/9362/trimmed_1766507332_184398.webp,https://m.media-amazon.com/images/I/81iMEmW8j9L._AC_UL320_.jpg,https://www.amazon.eg/-/en/Imtenan-clover-blossom-pure-honey/dp/B07Y75CJBC/ref=sr_1_5?crid=HH11IM2XSPBY&dib=eyJ2IjoiMSJ9.adgxXwj2xa7SM-_TK3SYF5BYEexbh_kB-iK_Rs5_sg61qSJGVPDTi2JYdLamcFvElKiJ_1f73qPR91tBfJNvG1sVgVWd7JXXOzmNc-exBFDrGnRBqflEJ6fxfhdMkZQUeakP49hY_P71KwlZdS9f42SBsfRTdkx-uP7Bf-LcndFSsu52fRNnuNCt5CpleFpWBF-5AAqE86AxE33_w2nvndUC0z7dw_8JK2HnoOVrZ8mqML7q98OYpzzV0FXkdomOHFRKDx6SAlEtjRHcuECgBoizgKYbhst0RRyLdjKzbhs.1AR4FHsIxYdRf1RbEvVswfgq-yIICCy7slXO9s9bIw0&dib_tag=se&keywords=Imtenan+Pure+Honey&qid=1778626287&sprefix=imtenan+pure+honey%2Caps%2C282&sr=8-5
+ عسل Food Cupboard,Imtenan Clover Blossom Honey,"Imtenan clover blossom - pure bee honey, 800 gm",nan,136.5,234.0,0.9,https://elfarblobprod.blob.core.windows.net/elfar/product/20518/trimmed_1766505580_177559.webp,https://m.media-amazon.com/images/I/81iMEmW8j9L._AC_UL320_.jpg,https://www.amazon.eg/-/en/Imtenan-clover-blossom-pure-honey/dp/B07Y75CJBC/ref=sr_1_3?crid=33QN8ZGG9W0E8&dib=eyJ2IjoiMSJ9.uYhMunA4rKfwBMZqvOCh7WP-UFXYaIAJQk7JoXRHH89_f0FzgkP-wuQARWdoEi3HDIB-KQB37PA4ahOfuOiW97lHjeDtUgGgDWPfgXbZLPExSIGRXiRrIqF1GIy87lct6ew_B7J1RVXABX31aWyIhj5CYTzk-Em3YLr0wABMrNDopuCiuTzBSIGP9JQRgUFTbYoaowkZNYF9H1f-btmQFqvl13VdDKtLFzsYCjJfBayv_CIzR-e5wTopVXx3zaZxTLXndY6qVJBYXRDtnCKGIdhgOL6_WS3Nzp95nA8KFfk.CRWX0EGau4XBplBRutF_ap_CaUVRii-Fnn18hGEIBqg&dib_tag=se&keywords=Imtenan+Clover+Blossom+Honey&qid=1778626297&sprefix=imtenan+clover+blossom+honey%2Caps%2C372&sr=8-3
+ عسل Food Cupboard,Imtenan Black Seed Extract In Raw Honey,Imtenan Black Seed Honey 450g (hexagonal bottle),nan,144.5,174.0,0.83,https://elfarblobprod.blob.core.windows.net/elfar/product/20509/trimmed_1766506035_179523.webp,https://m.media-amazon.com/images/I/51iaGywVE5L._AC_UL320_.jpg,https://www.amazon.eg/-/en/Imtenan-Black-Honey-hexagonal-bottle/dp/B09RB8736R/ref=sr_1_1?crid=3QGL8AA9J1Y5K&dib=eyJ2IjoiMSJ9.ThpvDVB1l3tw21u2ekrgpjS_ECiHvfOiZmA8baG8MFZSTG540vVzvdtYQWTnzFeXOYzS8WCShaVubJ5ExDp9HQ.TADrLKPaa9yRCIN4ciHyfzVvw2DMEJ94kiWp90tq8Fs&dib_tag=se&keywords=Imtenan+Black+Seed+Extract+In+Raw+Honey&qid=1778626306&sprefix=imtenan+black+seed+extract+in+raw+honey%2Caps%2C479&sr=8-1
+ عسل Food Cupboard,Maram Organic Pure Honey,ORGANIC NATION,nan,199.5,140.0,0.6,https://elfarblobprod.blob.core.windows.net/elfar/product/20530/trimmed_1766505582_177568.webp,https://m.media-amazon.com/images/I/71AL+DKFLwL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Organic-Immunity-Anti-Inflammatory-Alternative-Antioxidant/dp/B09GMW8RCG/ref=sr_1_1?crid=23O3G9LQ2EKS3&dib=eyJ2IjoiMSJ9.8Od46oKnKP0Pg4sm2gy10I_jWxTtucXf73jUAeCG6u_9KKskn9px2q2OvHovZVAfukU2yeJxqRlyO0zVwX0pT0uD6r280A9vxfOZG7uN413FNTZqggloltHJls3DvmeeJdkBDuModisCri0uYTfHozkrAVcoOYsg7VPnHFi852oVQjtKPveo1RkVdC5bYTS9vlB1_NKJLJnRznDKTvmduwEfhmds2PfxFlcAJjm1I-28p4T-C7p8ccLmBgiX30zTiZjEk7qzNNGZPCxolY9xlPn8QKzBfvGakSqWL0DEe_8.EfBE8wQcCbhbj9gBlKKKshrsnGDTquy71-4Ww53lLfg&dib_tag=se&keywords=Maram+Organic+Pure+Honey&qid=1778626312&sprefix=maram+organic+pure+honey%2Caps%2C302&sr=8-1
